rank,title,subject,link
9.7,肖申克的救赎,希望让人自由。,https://movie.douban.com/subject/1292052/
9.6,霸王别姬,风华绝代。,https://movie.douban.com/subject/1291546/
9.5,阿甘正传,一部美国近现代史。,https://movie.douban.com/subject/1292720/
9.4,泰坦尼克号,失去的才是永恒的。 ,https://movie.douban.com/subject/1292722/
9.4,这个杀手不太冷,怪蜀黍和小萝莉不得不说的故事。,https://movie.douban.com/subject/1295644/
9.6,美丽人生,最美的谎言。,https://movie.douban.com/subject/1292063/
9.4,千与千寻,最好的宫崎骏，最好的久石让。 ,https://movie.douban.com/subject/1291561/
9.6,辛德勒的名单,拯救一个人，就是拯救整个世界。,https://movie.douban.com/subject/1295124/
9.4,盗梦空间,诺兰给了我们一场无法盗取的梦。,https://movie.douban.com/subject/3541415/
9.4,星际穿越,爱是一种力量，让我们超越时空感知它的存在。,https://movie.douban.com/subject/1889243/
9.4,忠犬八公的故事,永远都不能忘记你所爱的人。,https://movie.douban.com/subject/3011091/
9.3,楚门的世界,如果再也不能见到你，祝你早安，午安，晚安。,https://movie.douban.com/subject/1292064/
9.3,海上钢琴师,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,https://movie.douban.com/subject/1292001/
9.2,三傻大闹宝莱坞,英俊版憨豆，高情商版谢耳朵。,https://movie.douban.com/subject/3793023/
9.3,机器人总动员,小瓦力，大人生。,https://movie.douban.com/subject/2131459/
9.3,放牛班的春天,天籁一般的童声，是最接近上帝的存在。 ,https://movie.douban.com/subject/1291549/
9.3,无间道,香港电影史上永不过时的杰作。,https://movie.douban.com/subject/1307914/
9.2,疯狂动物城,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,https://movie.douban.com/subject/25662329/
9.2,大话西游之大圣娶亲,一生所爱。,https://movie.douban.com/subject/1292213/
9.3,熔炉,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,https://movie.douban.com/subject/5912992/
9.6,控方证人,比利·怀德满分作品。,https://movie.douban.com/subject/1296141/
9.3,教父,千万不要记恨你的对手，这样会让你失去理智。,https://movie.douban.com/subject/1291841/
9.2,当幸福来敲门,平民励志片。 ,https://movie.douban.com/subject/1849031/
9.3,触不可及,满满温情的高雅喜剧。,https://movie.douban.com/subject/6786002/
9.1,怦然心动,真正的幸福是来自内心深处。,https://movie.douban.com/subject/3319755/
9.2,龙猫,人人心中都有个龙猫，童年就永远不会消失。,https://movie.douban.com/subject/1291560/
9.3,末代皇帝,“不要跟我比惨，我比你更惨”再适合这部电影不过了。,https://movie.douban.com/subject/1293172/
